id_persona,area,sexo,jefe_hogar,estado_civil,etnia,educacion,exp_potencial,salario,contrato,cotiza_pension
718591311,05,1,1,3,6,3,44,1e+06,2,1
718591313,05,1,3,6,6,9,10,9e+05,2,2
718591511,05,1,1,3,6,10,48,1500000,1,2
718591611,05,2,1,4,6,8,32,2e+06,1,1
718591912,05,1,3,6,6,5,38,1e+06,2,1
718591915,05,2,3,6,6,10,19,1e+06,2,1
718592011,05,1,1,6,6,12,17,,1,1
718592111,05,1,1,5,6,5,38,1e+06,1,1
718592115,05,1,3,6,6,9,8,1e+06,1,1
718592212,05,2,3,6,6,10,29,2e+06,1,1
718592412,05,1,3,4,6,5,26,1200000,1,2
718592611,05,1,1,3,6,5,45,630000,2,3
718592711,05,1,1,3,6,5,40,5e+05,2,2
718592812,05,1,6,4,6,5,41,1600000,1,1
718592911,05,2,1,6,6,4,25,150000,1,2
718593012,05,1,6,6,6,3,50,2e+05,2,2
718593111,05,1,1,1,6,5,17,1e+06,2,2
718593112,05,2,2,1,6,5,11,0,2,2
718593211,05,1,1,2,6,4,41,1e+06,2,2
718593213,05,2,3,6,6,5,0,30000,2,2
718593411,05,1,1,3,6,5,36,8e+05,2,2
718593413,05,1,3,6,6,8,12,1520000,1,1
718593414,05,2,3,6,6,9,4,1e+06,1,1
718593511,05,1,1,3,6,5,51,140000,2,3
718593512,05,2,2,3,6,3,25,480000,2,2
718593612,05,1,3,6,6,5,8,1e+06,1,1
718593711,05,1,1,3,6,5,26,1e+06,1,1
718593811,05,2,1,3,6,4,51,4e+05,2,2
718593911,05,1,1,2,6,5,22,1090000,1,1
718594011,05,2,1,4,6,10,9,1200000,1,1
718594111,05,1,1,3,6,5,18,1e+06,1,1
718594112,05,2,2,3,6,5,20,1e+06,1,1
718594311,05,1,1,3,6,10,25,3178000,1,1
718594512,05,1,3,6,6,5,12,1e+06,1,1
718594611,05,1,1,2,6,5,10,1e+06,2,2
718594612,05,2,2,2,6,10,3,1e+06,2,2
718594712,05,2,3,6,6,5,7,1050000,1,1
718594911,05,1,1,6,6,3,30,1800000,1,2
718595111,05,2,1,4,6,3,36,470000,2,2
718595114,05,1,13,6,6,5,8,510000,2,2
718595411,05,1,1,3,6,4,36,1700000,1,1
718595412,05,2,2,3,6,8,29,1500000,1,1
718595413,05,1,3,6,6,9,8,1648000,1,1
718595511,05,2,1,5,6,3,58,2e+05,2,2
718595512,05,1,3,6,6,5,21,1e+06,1,1
718595513,05,1,3,2,6,4,25,4e+05,2,2
718595514,05,2,7,2,6,3,21,1e+05,2,2
718595521,05,2,1,4,6,3,33,8e+05,2,2
718595611,05,1,1,6,6,8,18,1420000,1,1
718595711,05,2,1,6,6,8,54,0,2,2
718595712,05,2,6,6,6,9,53,1.5e+07,2,1
718595713,05,2,10,5,6,3,46,1800000,1,3
718595811,05,2,1,6,5,5,10,4e+05,2,2
718596011,05,1,1,3,6,3,20,1100000,2,1
718596015,05,2,5,4,6,3,36,5e+05,2,2
718596211,05,1,1,6,6,10,4,2700000,1,1
718596311,05,1,1,3,6,3,46,1e+06,1,2
718596313,05,1,3,6,6,4,19,6e+05,1,2
718596315,05,2,3,6,6,5,9,1e+06,1,1
718596411,05,1,1,2,6,13,12,3e+06,1,1
718596412,05,2,2,2,6,13,13,8e+05,1,1
718596511,05,1,1,6,6,10,16,3.5e+07,2,2
718596513,05,1,13,6,6,10,13,4e+06,2,2
718596514,05,2,10,5,6,10,41,2700000,1,3
718596711,05,2,1,2,6,5,15,450000,2,2
718596712,05,1,2,2,6,3,27,450000,2,2
718596719,05,1,9,3,6,5,29,1200000,1,1
718596811,05,1,1,3,6,5,27,1e+06,1,1
718596812,05,2,2,3,6,9,22,1800000,1,1
718596911,05,1,1,3,6,10,36,3500000,1,1
718596912,05,2,2,3,6,4,42,1200000,1,1
718597211,05,1,1,3,6,5,27,1e+06,1,1
718597611,05,1,1,3,6,11,40,1.2e+07,1,1
718597612,05,2,2,3,6,11,39,1e+07,1,3
718597613,05,2,10,6,6,3,28,2400000,1,1
718597713,05,2,10,6,6,3,22,2500000,1,1
718597714,05,2,10,4,6,5,26,2500000,1,1
718597811,05,2,1,3,6,10,12,1e+06,2,2
718598011,05,1,1,2,6,10,15,1e+06,1,1
718598012,05,1,2,2,6,9,9,1400000,1,1
718598111,05,1,1,3,6,10,39,4e+06,1,1
